metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si'',sr,od,p1,p2
1,Łotwa,LV,0.96,Szwecja,1,Szwecja,1,0.34,0.16839036,0.17,0.51
2,Wielka Brytania,GB,0.63,Polska,0.920959734,Czechy,0.972020098,0.556404416,0.206767295,0.35,0.76
3,Portugalia,PO,0.50,Słowacja,0.785303331,Polska,0.941359121,0.617873764,0.255348105,0.36,0.87
4,Dania,DK,0.49,Austria,0.726521059,Słowenia,0.934760279,NA,NA,NA,NA
5,Polska,PL,0.49,Bułgaria,0.724349859,Niemcy,0.904490481,NA,NA,NA,NA
6,Czechy,CZ,0.43,Czechy,0.687203582,Bułgaria,0.892229498,NA,NA,NA,NA
7,Grecja,GR,0.41,Finlandia,0.67880237,Austria,0.845221022,NA,NA,NA,NA
8,Rumunia,RO,0.39,Niemcy,0.661949924,Finlandia,0.825244583,NA,NA,NA,NA
9,Cypr,CY,0.36,Chorwacja,0.656702855,Słowacja,0.788984685,NA,NA,NA,NA
10,Estonia,EE,0.35,Włochy,0.6195887,Litwa,0.774921954,NA,NA,NA,NA
11,Austria,AT,0.35,Słowenia,0.609352372,Łotwa,0.675682151,NA,NA,NA,NA
12,Belgia,BE,0.32,Estonia,0.595275811,Estonia,0.637797788,NA,NA,NA,NA
13,Włochy,IT,0.32,Rumunia,0.590948125,Francja,0.619752687,NA,NA,NA,NA
14,Szwecja,SK,0.30,Łotwa,0.5883534,Rumunia,0.613317914,NA,NA,NA,NA
15,Francja,FR,0.29,Litwa,0.579403694,Holandia,0.606435964,NA,NA,NA,NA
16,Holandia,NL,0.29,Węgry,0.564309651,Hiszpania,0.586054313,NA,NA,NA,NA
17,Chorwacja,HR,0.27,Wielka Brytania,0.551093723,Węgry,0.585511877,NA,NA,NA,NA
18,Irlandia,IE,0.24,Hiszpania,0.535037712,Wielka Brytania,0.576379671,NA,NA,NA,NA
19,Węgry,HU,0.23,Francja,0.523440337,Włochy,0.56675058,NA,NA,NA,NA
20,Malta,MT,0.22,Portugalia,0.489676716,Chorwacja,0.566493042,NA,NA,NA,NA
21,Słowacja,SK,0.21,Grecja,0.484090315,Dania,0.510274168,NA,NA,NA,NA
22,Finlandia,FI,0.21,Dania,0.457618046,Portugalia,0.354473873,NA,NA,NA,NA
23,Luksemburg,LU,0.21,Holandia,0.411591772,Grecja,0.354409131,NA,NA,NA,NA
24,Słowenia,SI,0.20,Belgia,0.313057591,Luksemburg,0.351393041,NA,NA,NA,NA
25,Niemcy,DE,0.20,Malta,0.300026114,Cypr,0.314212127,NA,NA,NA,NA
26,Bułgaria,BG,0.20,Luksemburg,0.287157723,Belgia,0.269215151,NA,NA,NA,NA
27,Litwa,LT,0.19,Cypr,0.237509125,Malta,0.233080198,NA,NA,NA,NA
28,Hiszpania,ES,0.18,Irlandia,0,Irlandia,0,NA,NA,NA,NA
