metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Luksemburg,LU,0.98,Austria,1,Szwecja,1,0.36,0.178143114,0.18,0.53
2,Czechy,CZ,0.79,Niemcy,0.444419131,Niemcy,0.994746265,0.289248642,0.172098511,0.12,0.46
3,Węgry,HU,0.64,Szwecja,0.430010963,Francja,0.94143181,0.581483121,0.252581584,0.33,0.83
4,Niemcy,DE,0.45,Francja,0.424953591,Czechy,0.897499121,NA,NA,NA,NA
5,Polska,PL,0.42,Polska,0.377200956,Finlandia,0.878256496,NA,NA,NA,NA
6,Cypr,CY,0.41,Finlandia,0.348241287,Słowenia,0.87426622,NA,NA,NA,NA
7,Portugalia,PO,0.40,Czechy,0.346242563,Austria,0.739940953,NA,NA,NA,NA
8,Austria,AT,0.40,Węgry,0.334562241,Estonia,0.726239239,NA,NA,NA,NA
9,Francja,FR,0.40,Słowenia,0.322895986,Węgry,0.722135987,NA,NA,NA,NA
10,Wielka Brytania,GB,0.36,Estonia,0.303612482,Holandia,0.715955284,NA,NA,NA,NA
11,Słowenia,SI,0.34,Holandia,0.298239057,Polska,0.675130152,NA,NA,NA,NA
12,Hiszpania,ES,0.31,Włochy,0.291896921,Rumunia,0.587273474,NA,NA,NA,NA
13,Chorwacja,HR,0.31,Wielka Brytania,0.286794224,Dania,0.566637469,NA,NA,NA,NA
14,Włochy,IT,0.30,Chorwacja,0.27161135,Chorwacja,0.551919193,NA,NA,NA,NA
15,Bułgaria,BG,0.29,Rumunia,0.263133025,Luksemburg,0.543545764,NA,NA,NA,NA
16,Malta,MT,0.29,Hiszpania,0.262454836,Wielka Brytania,0.543529302,NA,NA,NA,NA
17,Finlandia,FI,0.28,Łotwa,0.245900368,Słowacja,0.522126919,NA,NA,NA,NA
18,Estonia,EE,0.25,Dania,0.233349184,Włochy,0.508647085,NA,NA,NA,NA
19,Holandia,NL,0.25,Słowacja,0.229114879,Łotwa,0.502810052,NA,NA,NA,NA
20,Dania,DK,0.25,Portugalia,0.216619003,Belgia,0.492724588,NA,NA,NA,NA
21,Łotwa,LV,0.24,Bułgaria,0.201433094,Hiszpania,0.487195927,NA,NA,NA,NA
22,Rumunia,RO,0.24,Belgia,0.199315057,Portugalia,0.396389971,NA,NA,NA,NA
23,Szwecja,SE,0.24,Grecja,0.196611037,Bułgaria,0.378490989,NA,NA,NA,NA
24,Słowacja,SK,0.24,Luksemburg,0.192449702,Grecja,0.319493172,NA,NA,NA,NA
25,Irlandia,IE,0.23,Litwa,0.154738707,Litwa,0.317196559,NA,NA,NA,NA
26,Litwa,LT,0.23,Cypr,0.114008444,Cypr,0.208138041,NA,NA,NA,NA
27,Belgia,BE,0.22,Irlandia,0.109153884,Irlandia,0.189807368,NA,NA,NA,NA
28,Grecja,GR,0.22,Malta,0,Malta,0,NA,NA,NA,NA
