metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Łotwa,LV,0.97,Czechy,1,Słowenia,1,0.34,0.172239676,0.17,0.52
2,Dania,DE,0.63,Słowenia,0.980741336,Czechy,0.976402435,0.625666613,0.225752724,0.40,0.85
3,Polska,PL,0.50,Włochy,0.865371407,Szwecja,0.841574221,0.611066426,0.230318957,0.38,0.84
4,Portugalia,PO,0.48,Szwecja,0.854257541,Włochy,0.841412619,NA,NA,NA,NA
5,Rumunia,RO,0.47,Hiszpania,0.799262219,Holandia,0.774150138,NA,NA,NA,NA
6,Czechy,CZ,0.45,Łotwa,0.793308356,Wielka Brytania,0.763301668,NA,NA,NA,NA
7,Belgia,BE,0.44,Wielka Brytania,0.78905799,Hiszpania,0.762926255,NA,NA,NA,NA
8,Grecja,GR,0.42,Polska,0.769951346,Niemcy,0.762176719,NA,NA,NA,NA
9,Wielka Brytania,GB,0.40,Holandia,0.763039665,Austria,0.754426923,NA,NA,NA,NA
10,Niemcy,DE,0.38,Austria,0.760836101,Polska,0.752745627,NA,NA,NA,NA
11,Szwecja,SE,0.36,Niemcy,0.74525325,Łotwa,0.749863978,NA,NA,NA,NA
12,Austria,AT,0.35,Słowacja,0.736012386,Finlandia,0.726752492,NA,NA,NA,NA
13,Włochy,IT,0.35,Finlandia,0.72562823,Dania,0.726063119,NA,NA,NA,NA
14,Cypr,CY,0.34,Dania,0.708805735,Francja,0.712045778,NA,NA,NA,NA
15,Holandia,NL,0.30,Francja,0.708262618,Słowacja,0.710567892,NA,NA,NA,NA
16,Chorwacja,HR,0.28,Chorwacja,0.673529596,Chorwacja,0.678753515,NA,NA,NA,NA
17,Estonia,EE,0.25,Belgia,0.527172768,Belgia,0.497270768,NA,NA,NA,NA
18,Francja,FR,0.25,Węgry,0.506438548,Luksemburg,0.490755448,NA,NA,NA,NA
19,Irlandia,IE,0.23,Portugalia,0.501049175,Węgry,0.489335982,NA,NA,NA,NA
20,Malta,MT,0.22,Luksemburg,0.492096813,Portugalia,0.465524818,NA,NA,NA,NA
21,Finlandia,FI,0.21,Estonia,0.468363728,Estonia,0.452429946,NA,NA,NA,NA
22,Litwa,LT,0.20,Grecja,0.423149191,Grecja,0.414002027,NA,NA,NA,NA
23,Węgry,HU,0.20,Irlandia,0.407645267,Rumunia,0.372590746,NA,NA,NA,NA
24,Słowacja,SK,0.20,Rumunia,0.397129117,Irlandia,0.364586927,NA,NA,NA,NA
25,Bułgaria,BG,0.19,Bułgaria,0.386680146,Bułgaria,0.360555522,NA,NA,NA,NA
26,Luksemburg,LU,0.19,Cypr,0.381422559,Cypr,0.352988832,NA,NA,NA,NA
27,Słowenia,SI,0.19,Litwa,0.354200092,Litwa,0.316655528,NA,NA,NA,NA
28,Hiszpania,ES,0.18,Malta,0,Malta,0,NA,NA,NA,NA
