metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Luksemburg,LU,0.69,Niemcy,1,Niemcy,1,0.26,0.130473318,0.13,0.39
2,Węgry,HU,0.54,Francja,0.932188664,Francja,0.862789388,0.300178235,0.218115903,0.08,0.52
3,Niemcy,DE,0.42,Austria,0.407155693,Szwecja,0.694343643,0.450433123,0.226816171,0.22,0.68
4,Czechy,CZ,0.41,Szwecja,0.392885338,Czechy,0.666468185,NA,NA,NA,NA
5,Francja,FR,0.38,Czechy,0.381320005,Węgry,0.655268264,NA,NA,NA,NA
6,Cypr,CY,0.31,Słowenia,0.369318618,Słowenia,0.641882744,NA,NA,NA,NA
7,Portugalia,PO,0.30,Węgry,0.365409729,Finlandia,0.62160479,NA,NA,NA,NA
8,Austria,AT,0.28,Finlandia,0.356731291,Chorwacja,0.586301366,NA,NA,NA,NA
9,Finlandia,FI,0.28,Dania,0.339613525,Dania,0.564341602,NA,NA,NA,NA
10,Hiszpania,ED,0.27,Holandia,0.324970251,Polska,0.552241511,NA,NA,NA,NA
11,Włochy,IT,0.27,Chorwacja,0.322361554,Austria,0.551923398,NA,NA,NA,NA
12,Polska,PL,0.26,Polska,0.318748797,Holandia,0.500017515,NA,NA,NA,NA
13,Wielka Brytania,GB,0.25,Rumunia,0.304638786,Włochy,0.474681642,NA,NA,NA,NA
14,Słowenia,SI,0.25,Włochy,0.288060566,Wielka Brytania,0.425880162,NA,NA,NA,NA
15,Chorwacja,HR,0.23,Wielka Brytania,0.283151877,Słowacja,0.412826881,NA,NA,NA,NA
16,Holandia,NL,0.23,Słowacja,0.255703528,Luksemburg,0.400163585,NA,NA,NA,NA
17,Bułgaria,BG,0.21,Hiszpania,0.249264635,Rumunia,0.397391603,NA,NA,NA,NA
18,Estonia,EE,0.19,Estonia,0.236083854,Hiszpania,0.397316628,NA,NA,NA,NA
19,Szwecja,SE,0.19,Portugalia,0.213974685,Estonia,0.377231661,NA,NA,NA,NA
20,Dania,DK,0.17,Bułgaria,0.194357873,Belgia,0.328740518,NA,NA,NA,NA
21,Łotwa,LV,0.16,Grecja,0.174517389,Bułgaria,0.297241616,NA,NA,NA,NA
22,Rumunia,RO,0.16,Belgia,0.172709279,Portugalia,0.284123023,NA,NA,NA,NA
23,Słowacja,SK,0.16,Cypr,0.169932347,Łotwa,0.239599378,NA,NA,NA,NA
24,Malta,MT,0.15,Irlandia,0.129377336,Grecja,0.219460909,NA,NA,NA,NA
25,Litwa,LT,0.15,Luksemburg,0.106615843,Litwa,0.166797487,NA,NA,NA,NA
26,Belgia,BE,0.14,Malta,0.093998861,Cypr,0.165238796,NA,NA,NA,NA
27,Irlandia,IE,0.13,Łotwa,0.021900255,Irlandia,0.128251157,NA,NA,NA,NA
28,Grecja,GR,0.13,Litwa,0,Malta,0,NA,NA,NA,NA
