kraj,Chroniony obszar lądowy (% powierzchni państwa),Zalesienie (% powierzchni kraju),Akweny wodne (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Erozja gleby przez wodę (% powierzchni kraju),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Odzysk odpadów (kg/osoba),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Portugalia,21,31.5,1.2,180,121.6,4.11,79.2,5.7,6,23.8,15.9,5,453,24.6,80,5.48,6191,0.19,2.16,88,2.86,0.07,38,25.3,9.8,18840.41,0.40,Portugalia,0.40,0.401614182,NA,NA,NA
Rumunia,23,31.5,1.7,196,61.7,7.66,22.7,12.8,8,26.4,21.8,1,251,22.8,27.5,2.1,1039,1.16,1.97,71,4.99,0.2,22.6,43.2,207.1,23986.87,0.24,Rumunia,0.24,0.238158781,NA,NA,NA
Słowacja,30,44,1.1,0,142.1,4.5,60.2,11.4,6.8,16,11.9,-3,306,10.4,39.1,8.53,951,0.54,1.72,50,1.33,0.2,34,20.5,9.8,24078.66,0.24,Słowacja,0.24,0.235243339,NA,NA,NA
Słowenia,38,60,0.5,1,169.9,18.94,51.2,5.3,7.1,13.8,12.5,4,362,20.8,6.8,7.32,4113,1.17,3.85,105,0,0.34,20.6,19.6,9.8,20918.16,0.34,Słowenia,0.34,0.335623428,NA,NA,NA
Szwecja,14,64.7,9,138,105.3,0.67,29.4,2.7,4.3,13.8,22.2,0,450,51.1,9.6,15.76,1030,0.38,2.4,128,4.32,0.16,23.7,17.7,9.8,23999.89,0.24,Szwecja,0.24,0.237745239,NA,NA,NA
Węgry,21,23.1,2,626,171.6,2.37,49.7,3.2,7.6,10.1,8.7,0,402,15.5,85,2.45,13616,0.71,2.61,70,2.5,0.18,28.2,33.5,9.8,11430.20,0.64,Węgry,0.64,0.636968107,NA,NA,NA
Wielka Brytania,9,12.9,1.6,0,159,3.25,42.9,6.9,2.3,18.2,8.8,-6,477,4.6,110.7,3.41,4803,0.2,2.45,106,25.69,0.13,21.2,24.1,9.8,20228.36,0.36,Wielka Brytania,0.36,0.357531895,NA,NA,NA
Włochy,19,32.7,1.8,150,169.3,24.58,79.2,3,3.2,17.9,9.5,-2,504,15.4,64.6,9.3,3120,0.17,3.49,98,29.63,0.19,35.3,29.9,9.8,21910.95,0.30,Włochy,0.30,0.304091517,NA,NA,NA
wzorzec,19,32.7,1.8,150,61.7,0,-2.2,1.8,1.7,9,8.7,-6,251,51.1,230.9,18.62,25023,1.17,3.97,136,82.65,0.41,8,15,490.6,NA,NA,NA,NA,NA,NA,NA,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
