kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Austria,15,124.2,365,70.3,1.9,3.9,19.2,20.6,0,573,30.6,27.9,19.6,0.28,2.42,118,8.78,0.14,8.9,19.2,171.2,607.61,0.26,Austria,0.26,0.255716046,556.45,129.96,816.38
Belgia,13,104.9,231.7619048,75.4,4.8,3.4,19.7,13.6,5,456,6.3,9.8,4.1,0.29,2.25,114,7.79,0.17,18.7,21,91.5,543.4,0.33,Belgia,0.33,0.334368711,0.32,0.153260852,NA
Bułgaria,34,120.5,22,36,70.2,7,12.2,17.1,-6,508,14.3,30.4,0.5,0.69,2.68,43,1,0.19,25,49.1,26.7,566.06,0.31,Bułgaria,0.31,0.306614921,NA,NA,NA
Chorwacja,37,97,487,49.4,6.9,8.3,11,10,6,384,25.4,31.4,4.11,0.8,2.68,71.25,0.5,0.21,36.6,32.6,48.33333333,696.06,0.15,Chorwacja,0.15,0.147373985,NA,NA,NA
Cypr,28,100.7,213,92.4,24.6,3.3,27.5,13.9,32,672,6,212.6,2.9,0.18,2.76,66,1.5,0.07,22.4,24.6,144.9035263,593.14,0.27,Cypr,0.27,0.273443693,NA,NA,NA
Czechy,14,141.2,9,28.8,15.3,3.6,15.3,14.8,-3,320,10.9,8,13.1,0.86,2.34,84,5.92,0.31,18.1,15.3,106.25,437.5,0.46,Czechy,0.46,0.464097553,NA,NA,NA
Dania,8,115.1,231.7619048,-5.6,2.6,6.1,18.6,21.9,7,781,23.5,3.2,6.1,0.4,4.02,140,1,0.06,14.2,17.6,68.575,735.84,0.1,Dania,0.1,0.098645713,NA,NA,NA
Estonia,18,95.4,218,12,54.8,25.9,12.7,28.8,-5,301,25.5,12.6,14.1,0.54,2.73,62,0,0.19,22.4,23.1,28.25,553.8,0.32,Estonia,0.32,0.321633843,NA,NA,NA
Finlandia,14,113.5,231.7619048,52.8,11.3,8.7,13.1,37.3,4,505,32.8,71.4,8.2,0.43,3.02,143,6.87,0.32,20.1,17.9,132.7,510.79,0.37,Finlandia,0.37,0.374318181,NA,NA,NA
Francja,13,126.6,799,48.6,3.7,4.5,18.5,12,2,534,11.1,131.6,3.4,0.14,1.92,108,38.54,0.3,22.6,19.3,460.3,854.28,-0.05,Francja,0,-0.046428821,NA,NA,NA
Grecja,27,104.3,206,65.1,17.1,7.4,25.1,12.3,-1,503,10.9,12.4,5.2,0.4,2.91,56,0,0.16,44.7,31,145.5322906,522.98,0.36,Grecja,0.36,0.359393402,NA,NA,NA
Hiszpania,27,163.7,63,76.3,9.9,3.9,15.6,8.3,-1,485,13.2,101.5,7.5,0.23,1.58,134,15.45,0.26,46.2,26.7,259.75,356.41,0.56,Hiszpania,0.56,0.563420037,NA,NA,NA
Holandia,14,125.6,2,29.4,2,1.8,23.6,10.1,6,568,4.5,0.5,2.5,0.29,3.46,112,13.46,0.21,10,15.7,130.75,516.31,0.37,Holandia,0.37,0.367556002,NA,NA,NA
Irlandia,13,180.3,79,90,5.8,5.5,9.3,21.8,1,616,6.5,11.6,1.1,0.4,2.45,116,3.03,0.08,29.6,29.4,21.26666667,629.89,0.23,Irlandia,0.23,0.228432146,NA,NA,NA
Litwa,12,113.4,156,81.7,8,8.6,13.9,15.7,5,442,19.9,9.7,5.4,0.46,1.69,50,2,0.18,32.6,33.1,35.1,561.67,0.31,Litwa,0.31,0.311995958,NA,NA,NA
Luksemburg,18,137.2,0,97.3,2.4,4.4,14.6,20.8,5,666,2.9,1.1,2.8,0.4,2.36,120,1.42,0.34,16.4,16.8,9.7,666.29,0.18,Luksemburg,0.18,0.183843864,NA,NA,NA
Łotwa,12,131.5,1,59.9,2.1,11.5,15.9,20.8,2,350,33.5,27,10.1,0.23,2.99,72,0,0.16,31,40.1,27.4,507.94,0.38,Łotwa,0.38,0.377810963,NA,NA,NA
