kraj,Chroniony obszar lądowy (% powierzchni państwa),Indeks wydajnosci zasobów (rok 2000=100),Połowy w regionach rybackich (tys.ton),Zależność energetyczna (%),Emisja tlenków siarki (kg/osoba),Emisja cząstek stałych (kg/osoba),Zanieczyszczenie hałasem (% ludności),Konsumpcja surowców (ton/osoba),Zużycie nawozów (kg/ha),Odpady komunalne (kg/osoba),Odnawialna energia elektryczna (%konsumpcji prądu),Krajowa konsumpcja biomasy (100 tys. ton ekwiwalentu oleju),Uprawy ekologiczne (% użytków rolnych),Wydatki na ochronę środoiwska (% PKB),Dochody z podatków środoiwskowych (% PKB),Indeks eko-innowacyjnosci (śr krajów UE=100),Patenty związane z recyklingiem i surowcami wtórnymi  (liczba),Wydatki publiczne na badania i rozwój dotyczące środowiska (% PKB),"Stopa bezrobocia ludzi młodych w wieku 15-24 lata, obliczona jako udział (%) w całkowitej populacji w tej samej grupie wiekowej",Osoby zagrożone ubóstwem lub wykluczeniem społecznym,Zatrudnienie w sektorze dóbr i usług środowiskowych (ekwiwalent pełnego czasu pracy ∙〖10〗^(-3); FTE),dio,zi,wzorzec,zi,zi,średnia,odch.stand,d0
Malta,13,119.3,231.7619048,101.3,19,3.4,30.1,9,26,589,1.9,0,0.2,0.4,3.09,79,0,0.03,14,22.1,143.9141931,585.48,0.28,Malta,0.28,0.282833611,NA,NA,NA
Niemcy,15,120.7,716,61.9,5,2.9,25.8,16.3,0,626,11.4,29.4,6.1,0.478,2.17,126,86.81,0.41,8.5,19.9,470.4,829.79,-0.02,Niemcy,0,-0.016433283,NA,NA,NA
Polska,20,104.3,231.7619048,33.4,21.7,6.5,14.5,17.3,6,319,10.3,53.4,4.1,0.84,2.63,38,39.08,0.26,25.8,27.2,442.8333333,321.04,0.61,Polska,0.61,0.606754466,NA,NA,NA
Portugalia,21,116.3,176,77.7,6.1,6.3,23.1,14,4,490,24.6,74.4,6.1,0.23,2.31,88,5.33,0.11,30.2,24.4,95.7,513.02,0.37,Portugalia,0.37,0.371584891,NA,NA,NA
Rumunia,23,59.4,214,21.6,15.9,7.7,28.3,22.1,-3,259,21.4,30.8,1.6,0.76,1.94,58,3,0.2,23.9,40.9,201.6,420.57,0.48,Rumunia,0.48,0.484832759,NA,NA,NA
Słowacja,30,123.9,1,64.3,13.4,6.7,16.3,11.4,-6,311,10.3,36.6,8.6,0.55,1.81,49,0,0.18,33.7,20.6,144.0111354,405.83,0.5,Słowacja,0.5,0.50288314,NA,NA,NA
Słowenia,36,151.3,1,47.7,5.8,7.2,17.2,12.2,3,415,20.3,6.9,7,0.99,3.46,99,0.25,0.35,15.7,19.3,23.6,529.23,0.35,Słowenia,0.35,0.35172969,NA,NA,NA
Szwecja,14,105.9,125,36.7,2.8,4.6,14.1,22.6,0,449,48.8,9.2,15.7,0.36,2.41,130,6.21,0.14,22.8,18.5,71.7,512.73,0.37,Szwecja,0.37,0.371943013,NA,NA,NA
Węgry,21,151,595,49.8,3.5,7.3,9.9,10,-3,382,14,80.3,2.3,0.7,2.62,76,4.63,0.19,26,31.5,144.12425,713.83,0.13,Węgry,0.13,0.125604872,NA,NA,NA
Wielka Brytania,9,151.7,231.7619048,36.6,6.2,2.2,19.8,8.9,-0.545454545,491,4.2,100.8,3.7,0.2,2.47,103,21.71,0.14,21.3,22.7,325.2,389.19,0.52,Wielka Brytania,0.52,0.523269969,NA,NA,NA
Włochy,19,148.9,180,81.4,3.3,2.8,20.8,8.3,-3,529,12.9,61.9,8.4,0.76,3.05,91,30.91,0.16,29.2,28.1,144.2523063,499.93,0.39,Włochy,0.39,0.387619103,NA,NA,NA
wzorzec,19,148.9,0,-5.6,1.9,1.8,9.3,8.3,-6,259,48.8,212.6,19.6,0.99,4.02,143,86.81,0.41,8.5,15.3,470.4,NA,NA,NA,NA,NA,NA,NA,NA
