metoda,Hellwiga,symbolh,zi,standaryzacja,"gi""",unitaryzacja,si,sr,od,p1,p2
1,Polska,PL,0.62,Polska,1,Słowenia,1,0.32,0.162481793,0.16,0.49
2,Hiszpania,ES,0.55,Francja,0.912099837,Szwecja,0.916675951,0.370228008,0.259331901,0.11,0.63
3,Słowacja,SK,0.53,Niemcy,0.856796059,Czechy,0.906028284,0.519953929,0.264331796,0.26,0.78
4,Wielka Brytania,GB,0.53,Wielka Brytania,0.758482294,Finlandia,0.779299552,NA,NA,NA,NA
5,Czechy,CZ,0.49,Hiszpania,0.583531285,Niemcy,0.773122974,NA,NA,NA,NA
6,Rumunia,RO,0.48,Austria,0.484626519,Polska,0.765843155,NA,NA,NA,NA
7,Finlandia,FI,0.41,Czechy,0.469869433,Holandia,0.737978085,NA,NA,NA,NA
8,Łotwa,LV,0.40,Finlandia,0.463143026,Słowacja,0.654297037,NA,NA,NA,NA
9,Włochy,IT,0.39,Holandia,0.442748745,Włochy,0.650218946,NA,NA,NA,NA
10,Szwecja,SE,0.39,Włochy,0.436061951,Chorwacja,0.648125266,NA,NA,NA,NA
11,Holandia,NL,0.38,Słowacja,0.423148311,Austria,0.647061858,NA,NA,NA,NA
12,Portugalia,PO,0.37,Szwecja,0.419350779,Wielka Brytania,0.639089586,NA,NA,NA,NA
13,Grecja,GR,0.37,Węgry,0.40109433,Francja,0.617241202,NA,NA,NA,NA
14,Litwa,LT,0.36,Słowenia,0.360057169,Węgry,0.578701391,NA,NA,NA,NA
15,Estonia,EE,0.34,Rumunia,0.290889916,Hiszpania,0.515972736,NA,NA,NA,NA
16,Belgia,BE,0.34,Chorwacja,0.247344046,Estonia,0.500244405,NA,NA,NA,NA
17,Słowenia,SI,0.33,Grecja,0.233698496,Łotwa,0.488083367,NA,NA,NA,NA
18,Bułgaria,BG,0.29,Dania,0.219064892,Bułgaria,0.436473014,NA,NA,NA,NA
19,Austria,AT,0.27,Cypr,0.190364208,Dania,0.425142183,NA,NA,NA,NA
20,Malta,MT,0.26,Portugalia,0.18031894,Litwa,0.42293415,NA,NA,NA,NA
21,Irlandia,IE,0.22,Belgia,0.177363234,Luksemburg,0.295175192,NA,NA,NA,NA
22,Cypr,CY,0.22,Łotwa,0.17172413,Belgia,0.293272119,NA,NA,NA,NA
23,Chorwacja,HR,0.19,Estonia,0.162101485,Portugalia,0.257933953,NA,NA,NA,NA
24,Luksemburg,LU,0.17,Malta,0.151667969,Rumunia,0.198630769,NA,NA,NA,NA
25,Dania,DK,0.13,Litwa,0.147065129,Grecja,0.192073188,NA,NA,NA,NA
26,Węgry,HU,0.11,Bułgaria,0.138186173,Irlandia,0.120629126,NA,NA,NA,NA
27,Francja,FR,0.05,Luksemburg,0.045585857,Cypr,0.098462528,NA,NA,NA,NA
28,Niemcy,DE,-0.10,Irlandia,0,Malta,0,NA,NA,NA,NA
